Hostname,Domain,Label,Model,VLAN,Mgmt IP,Gateway,Length,Cable Length,Distribution
dd2,access.npf,DD2.ACCESS.NPF,WS-C2950T-24,12,10.255.201.20,10.255.201.1,33,20,d1
de1,access.npf,DE1.ACCESS.NPF,WS-C2950T-24,13,10.255.201.22,10.255.201.1,33,30,d1
de2,access.npf,DE2.ACCESS.NPF,WS-C2950T-24,13,10.255.201.23,10.255.201.1,33,20,d1
df1,access.npf,DF1.ACCESS.NPF,WS-C2950T-24,13,10.255.201.25,10.255.201.1,33,50,d1
df2,access.npf,DF2.ACCESS.NPF,WS-C2950T-24,13,10.255.201.26,10.255.201.1,33,30,d1
dg1,access.npf,DG1.ACCESS.NPF,WS-C2950T-24,14,10.255.201.28,10.255.201.1,33,50,d1
dg2,access.npf,DG2.ACCESS.NPF,WS-C2950T-24,14,10.255.201.29,10.255.201.1,33,30,d1
fa1,access.npf,FA1.ACCESS.NPF,WS-C2950T-24,15,10.255.201.12,10.255.201.1,33,30,d1
fb1,access.npf,FB1.ACCESS.NPF,WS-C2950T-24,15,10.255.201.15,10.255.201.1,33,30,d1
fc1,access.npf,FC1.ACCESS.NPF,WS-C2950T-24,15,10.255.201.18,10.255.201.1,33,20,d1
fd1,access.npf,FD1.ACCESS.NPF,WS-C2950T-24,15,10.255.201.21,10.255.201.1,33,20,d1
fe1,access.npf,FE1.ACCESS.NPF,WS-C2950T-24,14,10.255.201.24,10.255.201.1,33,20,d1
ff1,access.npf,FF1.ACCESS.NPF,WS-C2950T-24,14,10.255.201.27,10.255.201.1,33,30,d1
fg1,access.npf,FG1.ACCESS.NPF,WS-C2950T-24,14,10.255.201.30,10.255.201.1,33,30,d1
ha1,access.npf,HA1.ACCESS.NPF,WS-C2950T-24,16,10.255.201.31,10.255.201.1,33,50,d1
hb1,access.npf,HB1.ACCESS.NPF,WS-C2950T-24,16,10.255.201.32,10.255.201.1,33,50,d1
hc1,access.npf,HC1.ACCESS.NPF,WS-C2950T-24,16,10.255.201.33,10.255.201.1,33,50,d1
hd1,access.npf,HD1.ACCESS.NPF,WS-C2950T-24,16,10.255.201.34,10.255.201.1,33,50,d1
he1,access.npf,HE1.ACCESS.NPF,WS-C2950T-24,16,10.255.201.35,10.255.201.1,33,30,d1
dh1,access.npf,DH1.ACCESS.NPF,WS-C2950T-24,11,10.255.202.10,10.255.202.1,33,50,d2
dh2,access.npf,DH2.ACCESS.NPF,WS-C2950T-24,11,10.255.202.11,10.255.202.1,33,30,d2
dj1,access.npf,DJ1.ACCESS.NPF,WS-C2950T-24,11,10.255.202.13,10.255.202.1,33,50,d2
dj2,access.npf,DJ2.ACCESS.NPF,WS-C2950T-24,11,10.255.202.14,10.255.202.1,33,30,d2
dk1,access.npf,DK1.ACCESS.NPF,WS-C2950T-24,12,10.255.202.16,10.255.202.1,33,30,d2
dk2,access.npf,DK2.ACCESS.NPF,WS-C2950T-24,12,10.255.202.17,10.255.202.1,33,20,d2
dl1,access.npf,DL1.ACCESS.NPF,WS-C2950T-24,12,10.255.202.19,10.255.202.1,33,30,d2
dl2,access.npf,DL2.ACCESS.NPF,WS-C2950T-24,12,10.255.202.20,10.255.202.1,33,20,d2
dm1,access.npf,DM1.ACCESS.NPF,WS-C2950T-24,13,10.255.202.22,10.255.202.1,33,30,d2
dm2,access.npf,DM2.ACCESS.NPF,WS-C2950T-24,13,10.255.202.23,10.255.202.1,33,20,d2
dn1,access.npf,DN1.ACCESS.NPF,WS-C2950T-24,13,10.255.202.25,10.255.202.1,33,50,d2
dn2,access.npf,DN2.ACCESS.NPF,WS-C2950T-24,13,10.255.202.26,10.255.202.1,33,30,d2
dp1,access.npf,DP1.ACCESS.NPF,WS-C2950T-24,14,10.255.202.28,10.255.202.1,33,50,d2
dp2,access.npf,DP2.ACCESS.NPF,WS-C2950T-24,14,10.255.202.29,10.255.202.1,33,30,d2
fh1,access.npf,FH1.ACCESS.NPF,WS-C2950T-24,15,10.255.202.12,10.255.202.1,33,30,d2
fj1,access.npf,FJ1.ACCESS.NPF,WS-C2950T-24,15,10.255.202.15,10.255.202.1,33,30,d2
fk1,access.npf,FK1.ACCESS.NPF,WS-C2950T-24,15,10.255.202.18,10.255.202.1,33,20,d2
fl1,access.npf,FL1.ACCESS.NPF,WS-C2950T-24,15,10.255.202.21,10.255.202.1,33,20,d2
fm1,access.npf,FM1.ACCESS.NPF,WS-C2950T-24,14,10.255.202.24,10.255.202.1,33,20,d2
fn1,access.npf,FN1.ACCESS.NPF,WS-C2950T-24,14,10.255.202.27,10.255.202.1,33,30,d2
